ts_by_detla_seconds,value_baro,value_rain_day,value_humi_in,value_temp_in,value_humi_out,value_temp_out,value_solar,value_wind,value_MPPT
1568721120.0,1011.3213636363573,0.043872727272726904,72.13636363636364,27.936863636363533,84.9090909090909,25.391418181818143,142.1818181818182,0.9204545454545436,2351.6636363636167
1568721720.0,1010.2647368421008,0.025400000000000464,72.5,27.809960526315752,84.44736842105263,25.337723684210413,210.6578947368421,1.113157894736831,3621.389473684185
1568722320.0,1010.1602777777739,0.025400000000000422,72.5,27.858044444444054,83.36111111111111,25.569433333333592,183.55555555555554,1.3500000000000076,3310.9444444444416
1568722920.0,1010.0502941176511,0.025400000000000377,72.11764705882354,27.91504411764672,83.44117647058823,25.761417647059062,195.91176470588235,0.9000000000000191,3062.2411764706026
1568723520.0,1009.9790000000141,0.025400000000000443,72.0,27.974995000000103,82.35,25.799985000000305,119.95,1.4850000000000072,2069.7799999999065
1568724120.0,1009.9413157894793,0.025400000000000464,72.23684210526316,28.002926315789463,82.71052631578948,25.479534210525813,70.28947368421052,1.1842105263158165,1181.7105263158046
1568724720.0,1009.9168750000016,0.025400000000000325,72.5,28.01040625000042,84.0625,25.27082499999999,54.9375,1.1531249999999922,901.5500000000181
1568767920.0,1012.1199999999914,0.20319999999999921,72.0,27.944449999999975,89.0,24.527799999999875,33.0,1.462499999999986,743.9000000000028
1568768520.0,1012.0389473684374,0.20319999999999316,72.0,27.931305263158386,89.0,24.596473684209396,124.44736842105263,1.3973684210526502,2437.3368421051982
1568769120.0,1011.946499999987,0.20319999999999214,72.0,27.91391500000085,88.75,24.730555000000244,140.85,1.4399999999999893,2501.6999999998943
1568769720.0,1011.8840000000115,0.2031999999999925,72.0,27.905580000000327,88.25,24.863889999999962,128.2,1.5749999999999966,2244.740000000065
1568770320.0,1011.8535000000265,0.20319999999999197,72.05,27.891679999999884,87.95,24.966664999999658,99.4,1.124999999999988,1714.4099999999514
1568770920.0,1011.8002777777918,0.20319999999999333,72.33333333333333,27.881191666666407,88.02777777777777,25.018533333333185,78.80555555555556,1.2249999999999701,1305.3666666666331
